period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,289.96471305587045,246.88947149896035,81.6111700639079,-0.14855339155909764,1,total,0.0,0.0,total,total,0.3305575145364251,0.0,0.0,0.0,289.96471305587045,-0.14855339155909764,81.6111700639079,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
last-8,145.67649714837057,123.83640250665107,43.503873839206264,-0.14992188217894545,1,total_by_cat,0.0,0.0,total,coffee,0.35130117605661015,0.0,0.0,0.0,145.67649714837057,-0.14992188217894545,43.503873839206264,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-05,2024-10-11
last-8,431.5475211698437,344.46350439196823,109.77216441798038,-0.20179473292259262,1,total_by_cat,0.0,0.0,total,combo_delivery,0.3186757465402477,0.0,0.0,0.0,431.5475211698437,-0.20179473292259262,109.77216441798038,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
last-8,236.89245330135552,191.0796033775785,69.00669815858883,-0.19339092185219411,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.36114110003792355,0.0,0.0,0.0,236.89245330135552,-0.19339092185219411,69.00669815858883,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-05,2024-10-11
last-8,116.92885385672912,105.35135154592116,49.356106312879106,-0.09901321982505419,1,total_by_cat,0.0,0.0,total,drinks,0.4684904900471588,0.0,0.0,0.0,116.92885385672912,-0.09901321982505419,49.356106312879106,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
last-8,69.26781984472719,60.90992906127436,22.780498138455613,-0.12066051453890303,1,total_by_cat,0.0,0.0,total,other,0.3740030318462334,0.0,0.0,0.0,69.26781984472719,-0.12066051453890303,22.780498138455613,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
last-8,694.9135440500933,607.0644085641047,172.32526713488028,-0.1264173597394381,1,total_by_cat,0.0,0.0,total,pizza,0.28386652998235046,0.0,0.0,0.0,694.9135440500933,-0.1264173597394381,172.32526713488028,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
last-8,244.72569826719254,212.58897099308484,87.52449074981612,-0.13131733815310523,1,total_by_cat,0.0,0.0,total,zakuski,0.411707579847419,0.0,0.0,0.0,244.72569826719254,-0.13131733815310523,87.52449074981612,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-05,2024-10-11
last-8,175.61673276192914,148.19830369384567,54.429445622475754,-0.15612651845227438,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1,coffee,0.36727441722219983,0.0,0.0,0.0,175.61673276192914,-0.15612651845227438,54.429445622475754,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
last-8,168.47566307199068,138.4794753708599,43.08290195659659,-0.1780446335938338,1,total_by_cat_and_groups,0.0,0.0,b. Группа -0.5,coffee,0.31111398885081626,0.0,0.0,0.0,168.47566307199068,-0.1780446335938338,43.08290195659659,0.0,0.0,0.0,0.0,0.0,2024-10-05,2024-10-11
