period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,295.4330256913323,251.403347728609,86.01085939429592,-0.14903438049856152,1,total,0.0,0.0,total,total,0.3421229676191306,0.0,0.0,0.0,295.4330256913323,-0.14903438049856152,86.01085939429592,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,148.0274127409512,125.00674105886137,47.26914538878829,-0.1555162740186248,1,total_by_cat,0.0,0.0,total,coffee,0.37813277098817316,0.0,0.0,0.0,148.0274127409512,-0.1555162740186248,47.26914538878829,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,430.19368250141457,347.6872419583345,114.40690930513199,-0.19178905664847554,1,total_by_cat,0.0,0.0,total,combo_delivery,0.32905121470877,0.0,0.0,0.0,430.19368250141457,-0.19178905664847554,114.40690930513199,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,227.39038242466248,184.67680090829182,68.87862453890479,-0.18784251585716133,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.3729684735718865,0.0,0.0,0.0,227.39038242466248,-0.18784251585716133,68.87862453890479,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-12-06,2024-12-12
last-8,121.1983219930173,107.27773447982251,49.55963929475746,-0.11485792281841005,1,total_by_cat,0.0,0.0,total,drinks,0.4619750737193183,0.0,0.0,0.0,121.1983219930173,-0.11485792281841005,49.55963929475746,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,68.28484098180559,59.215882221465016,22.5830067192717,-0.13281071801510058,1,total_by_cat,0.0,0.0,total,other,0.38136739455830726,0.0,0.0,0.0,68.28484098180559,-0.13281071801510058,22.5830067192717,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-12-06,2024-12-12
last-8,696.4421905559822,608.6303230705864,180.158551158033,-0.1260863696601925,1,total_by_cat,0.0,0.0,total,pizza,0.2960065319274915,0.0,0.0,0.0,696.4421905559822,-0.1260863696601925,180.158551158033,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,246.83681340511833,210.88740740374638,90.65635731400593,-0.14564037472956018,1,total_by_cat,0.0,0.0,total,zakuski,0.42988037280217156,0.0,0.0,0.0,246.83681340511833,-0.14564037472956018,90.65635731400593,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,176.0916538658474,151.25947772556248,49.91284277447663,-0.14101847302316176,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1.5,coffee,0.3299815887572742,0.0,0.0,0.0,176.0916538658474,-0.14101847302316176,49.91284277447663,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,176.9617658651951,145.80438705605692,53.60419020090791,-0.1760684216548396,1,total_by_cat_and_groups,0.0,0.0,b. Группа -1,coffee,0.36764456326200173,0.0,0.0,0.0,176.9617658651951,-0.1760684216548396,53.60419020090791,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,175.23875114784207,142.39645549290984,52.73918251163703,-0.18741457263196576,1,total_by_cat_and_groups,0.0,0.0,c. Группа -0.5,coffee,0.37036864667086467,0.0,0.0,0.0,175.23875114784207,-0.18741457263196576,52.73918251163703,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,161.84757635191932,139.66469321104952,53.570821660010544,-0.13706033566196635,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0,coffee,0.3835673886388654,0.0,0.0,0.0,161.84757635191932,-0.13706033566196635,53.570821660010544,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,158.1954302945952,132.8156123841011,49.85467263546711,-0.16043331885902937,1,total_by_cat_and_groups,0.0,0.0,e. Группа 0.5,coffee,0.37536756214539013,0.0,0.0,0.0,158.1954302945952,-0.16043331885902937,49.85467263546711,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-12-06,2024-12-12
last-8,152.70966278542267,129.84971455218457,49.74608945356237,-0.14969549284749162,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1,coffee,0.38310511212999393,0.0,0.0,0.0,152.70966278542267,-0.14969549284749162,49.74608945356237,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,147.31549295774647,116.14983101864935,55.049757981636155,-0.21155725927643035,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Братск,coffee,0.4739546971256222,0.0,0.0,0.0,147.31549295774647,-0.21155725927643035,55.049757981636155,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,151.50743846361914,128.69374896246967,47.749240512553826,-0.15057801605316978,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,coffee,0.3710299909475689,0.0,0.0,0.0,151.50743846361914,-0.15057801605316978,47.749240512553826,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
last-8,145.32515173747748,119.84520374769319,49.91613832693966,-0.1753306133532379,1,total_by_cat_and_groups,0.0,0.0,g. Группа 1.5,coffee,0.41650509795975427,0.0,0.0,0.0,145.32515173747748,-0.1753306133532379,49.91613832693966,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-12-06,2024-12-12
last-8,145.29729192875587,123.0681917475836,48.16421327967916,-0.1529904644889868,1,total_by_cat_and_groups,0.0,0.0,h. Группа 1.75,coffee,0.39136199692009244,0.0,0.0,0.0,145.29729192875587,-0.1529904644889868,48.16421327967916,0.0,0.0,0.0,0.0,0.0,2024-12-06,2024-12-12
