period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,289.0992888324295,246.45860909594202,81.73032073044831,-0.1474949312698009,1,total,0.0,0.0,total,total,0.3316188508498485,0.0,0.0,0.0,289.0992888324295,-0.1474949312698009,81.73032073044831,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,145.7547106404858,124.0846903659095,43.926339568437236,-0.1486745792252775,1,total_by_cat,0.0,0.0,total,coffee,0.3540028946270826,0.0,0.0,0.0,145.7547106404858,-0.1486745792252775,43.926339568437236,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,428.8637685331332,342.81123624500856,109.7464133960507,-0.20065237169009395,1,total_by_cat,0.0,0.0,total,combo_delivery,0.3201365701957753,0.0,0.0,0.0,428.8637685331332,-0.20065237169009395,109.7464133960507,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,233.03020420221011,188.88523233266437,68.37848331228336,-0.18943884128960076,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.3620107430731021,0.0,0.0,0.0,233.03020420221011,-0.18943884128960076,68.37848331228336,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,116.99685712986775,105.1340316657467,49.57419550406483,-0.10139439430371351,1,total_by_cat,0.0,0.0,total,drinks,0.47153328678268885,0.0,0.0,0.0,116.99685712986775,-0.10139439430371351,49.57419550406483,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,68.20110393273376,59.73113458003587,22.751261759312953,-0.12419108876964442,1,total_by_cat,0.0,0.0,total,other,0.3808945187342412,0.0,0.0,0.0,68.20110393273376,-0.12419108876964442,22.751261759312953,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,699.2703561513478,612.4325642775373,173.95468241347922,-0.124183430785983,1,total_by_cat,0.0,0.0,total,pizza,0.2840389171968456,0.0,0.0,0.0,699.2703561513478,-0.124183430785983,173.95468241347922,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,244.1370145065543,211.8170896946703,87.454162661871,-0.13238436980647317,1,total_by_cat,0.0,0.0,total,zakuski,0.4128758580713872,0.0,0.0,0.0,244.1370145065543,-0.13238436980647317,87.454162661871,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,174.7740711669283,146.85936418314495,54.36991370853362,-0.15971881182032877,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1,coffee,0.37021754799871087,0.0,0.0,0.0,174.7740711669283,-0.15971881182032877,54.36991370853362,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,168.63183509876896,139.31888634253121,42.43184797285349,-0.17382808376051254,1,total_by_cat_and_groups,0.0,0.0,b. Группа -0.5,coffee,0.3045663734960528,0.0,0.0,0.0,168.63183509876896,-0.17382808376051254,42.43184797285349,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,159.60027535566775,138.6534488225897,46.61825476703758,-0.13124555384630912,1,total_by_cat_and_groups,0.0,0.0,c. Группа 0,coffee,0.33622138621799963,0.0,0.0,0.0,159.60027535566775,-0.13124555384630912,46.61825476703758,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,157.16681763285024,131.54121678576305,43.08628357810099,-0.16304714463933417,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0.5,coffee,0.3275496808599105,0.0,0.0,0.0,157.16681763285024,-0.16304714463933417,43.08628357810099,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,148.93235328342578,127.54621967868403,71.764968239592,-0.1435962914252947,1,total_by_cat_and_groups,0.0,0.0,e. Группа 1,coffee,0.5626585281820439,0.0,0.0,0.0,148.93235328342578,-0.1435962914252947,71.764968239592,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,143.0154336415896,119.66783804101163,45.636781114603515,-0.1632522798839269,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1.5,coffee,0.38136212587849405,0.0,0.0,0.0,143.0154336415896,-0.1632522798839269,45.636781114603515,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,149.10566242210783,127.11704688981696,42.139196412410236,-0.14747002343910062,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,coffee,0.33149917688802055,0.0,0.0,0.0,149.10566242210783,-0.14747002343910062,42.139196412410236,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,144.08092750961373,123.0469563084561,41.21670248220676,-0.14598720014315666,1,total_by_cat_and_groups,0.0,0.0,g. Группа 1.75,coffee,0.3349672654956541,0.0,0.0,0.0,144.08092750961373,-0.14598720014315666,41.21670248220676,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,143.66277719255598,118.59773761020085,42.18789671836659,-0.17447135627038324,1,total_by_cat_and_groups,0.0,0.0,h. Группа 2,coffee,0.3557226096253788,0.0,0.0,0.0,143.66277719255598,-0.17447135627038324,42.18789671836659,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,141.2758361282638,120.50952824006443,42.030370897795834,-0.14699122268401035,1,total_by_cat_and_groups,0.0,0.0,i. Группа 2.5,coffee,0.3487721801886739,0.0,0.0,0.0,141.2758361282638,-0.14699122268401035,42.030370897795834,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,145.40309532184313,122.64629617526818,41.087916515429505,-0.15650835421490722,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Казань,coffee,0.335011474433053,0.0,0.0,0.0,145.40309532184313,-0.15650835421490722,41.087916515429505,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,141.0461665292663,122.66270404778919,40.3661113386791,-0.1303364914753825,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Ставрополь,coffee,0.32908219048352727,0.0,0.0,0.0,141.0461665292663,-0.1303364914753825,40.3661113386791,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,142.5437687482956,121.44035449540351,42.1450125702337,-0.14804866209309078,1,total_by_cat_and_groups,0.0,0.0,j. Группа 2.75,coffee,0.34704289809882666,0.0,0.0,0.0,142.5437687482956,-0.14804866209309078,42.1450125702337,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,141.61396303901438,126.06181208071828,39.307462912565384,-0.1098207452467911,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Нижний Новгород,coffee,0.311811025589546,0.0,0.0,0.0,141.61396303901438,-0.1098207452467911,39.307462912565384,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,133.40998959417274,114.14085330203966,37.421226768414265,-0.1444354830605184,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Пенза,coffee,0.32785129676041735,0.0,0.0,0.0,133.40998959417274,-0.1444354830605184,37.421226768414265,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,134.72688287322433,115.24963547769036,41.35375091186703,-0.1445683814555535,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Саратов Энгельс,coffee,0.35881893023316463,0.0,0.0,0.0,134.72688287322433,-0.1445683814555535,41.35375091186703,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,134.15270588235293,114.26392139670078,40.87092779711555,-0.14825481420474595,1,total_by_cat_and_groups,0.0,0.0,k. Группа 3,coffee,0.3576888251123477,0.0,0.0,0.0,134.15270588235293,-0.14825481420474595,40.87092779711555,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,134.65150136487716,115.00595540754681,44.10092846190962,-0.14589919724767922,1,total_by_cat_and_groups,0.0,0.0,l. Группа 3.5,coffee,0.38346647619794194,0.0,0.0,0.0,134.65150136487716,-0.14589919724767922,44.10092846190962,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,135.46810966810966,118.8230216423235,41.572247431150934,-0.12287089608444252,1,total_by_cat_and_groups,0.0,0.0,m. Группа 4,coffee,0.34986694376692523,0.0,0.0,0.0,135.46810966810966,-0.12287089608444252,41.572247431150934,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,114.41549295774648,99.20757039426498,38.724416658911906,-0.13291838517968688,1,total_by_cat_and_groups,0.0,0.0,n. Группа 5,coffee,0.3903373150356931,0.0,0.0,0.0,114.41549295774648,-0.13291838517968688,38.724416658911906,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,153.98448519040903,132.47887169608612,41.719983833969394,-0.13966091108289386,1,total_by_cat_and_groups,0.0,0.0,ntest. Группа Москва-2,coffee,0.3149180190006249,0.0,0.0,0.0,153.98448519040903,-0.13966091108289386,41.719983833969394,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,148.39901186458368,127.76709612497596,38.300805694801994,-0.1390300075477232,1,total_by_cat_and_groups,0.0,0.0,o. Группа Москва,coffee,0.29977049534989736,0.0,0.0,0.0,148.39901186458368,-0.1390300075477232,38.300805694801994,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,145.5943120676403,128.6229700116906,36.87496372665652,-0.11656596892373877,1,total_by_cat_and_groups,0.0,0.0,p. Группа Москва-1,coffee,0.28669034561482243,0.0,0.0,0.0,145.5943120676403,-0.11656596892373877,36.87496372665652,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,146.39786076976233,125.49796351725152,39.64011127490377,-0.14276094706998327,1,total_by_cat_and_groups,0.0,0.0,q. Группа Спб,coffee,0.3158625858455038,0.0,0.0,0.0,146.39786076976233,-0.14276094706998327,39.64011127490377,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,475.2197495269844,395.12752589974355,114.41367511680957,-0.16853723715599284,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1,combo_delivery,0.28956138870932513,0.0,0.0,0.0,475.2197495269844,-0.16853723715599284,114.41367511680957,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,430.5954532749464,363.2952613460932,105.56797977468123,-0.1562956399492688,1,total_by_cat_and_groups,0.0,0.0,b. Группа -0.5,combo_delivery,0.29058452175656624,0.0,0.0,0.0,430.5954532749464,-0.1562956399492688,105.56797977468123,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,440.74320821733704,378.6139867625722,126.48977335494735,-0.14096467125621134,1,total_by_cat_and_groups,0.0,0.0,c. Группа 0,combo_delivery,0.334086372340673,0.0,0.0,0.0,440.74320821733704,-0.14096467125621134,126.48977335494735,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,460.8926238432226,397.56061323807734,112.85010541614528,-0.137411638478919,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0.5,combo_delivery,0.2838563521094217,0.0,0.0,0.0,460.8926238432226,-0.137411638478919,112.85010541614528,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,422.86390912055657,360.344505918273,110.10374484990055,-0.14784757425221545,1,total_by_cat_and_groups,0.0,0.0,e. Группа 1,combo_delivery,0.30555133501847354,0.0,0.0,0.0,422.86390912055657,-0.14784757425221545,110.10374484990055,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,416.0605838125926,350.67162037095915,105.66531028693879,-0.15716212009904498,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1.5,combo_delivery,0.30132267383131944,0.0,0.0,0.0,416.0605838125926,-0.15716212009904498,105.66531028693879,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,362.62126582278484,299.6557519222211,107.14171643752086,-0.17363988225482427,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Братск,combo_delivery,0.3575493403688465,0.0,0.0,0.0,362.62126582278484,-0.17363988225482427,107.14171643752086,-0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-2.220446049250313e-16,2024-10-10,2024-10-16
last-8,427.4209048471447,367.2213723756566,102.53278889618744,-0.14084367841815515,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,combo_delivery,0.27921247674903693,0.0,0.0,0.0,427.4209048471447,-0.14084367841815515,102.53278889618744,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,386.68712442913227,299.55444862618987,105.3464454335127,-0.22533120525173087,1,total_by_cat_and_groups,0.0,0.0,g. Группа 1.75,combo_delivery,0.3516771188565227,0.0,0.0,0.0,386.68712442913227,-0.22533120525173087,105.3464454335127,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,393.76840312364556,322.8243120455347,107.81970926081036,-0.18016704874066294,1,total_by_cat_and_groups,0.0,0.0,h. Группа 2,combo_delivery,0.33398881446575274,0.0,0.0,0.0,393.76840312364556,-0.18016704874066294,107.81970926081036,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,388.0411003092256,314.08580098071593,103.18599895396059,-0.19058625302725798,1,total_by_cat_and_groups,0.0,0.0,i. Группа 2.5,combo_delivery,0.32852806026814296,0.0,0.0,0.0,388.0411003092256,-0.19058625302725798,103.18599895396059,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,389.0064031418082,324.3996034364991,102.09097296304344,-0.1660815842194695,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Казань,combo_delivery,0.3147074530349346,0.0,0.0,0.0,389.0064031418082,-0.1660815842194695,102.09097296304344,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,420.65009461551693,347.35067436294383,110.98773895744692,-0.1742527131001131,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Ставрополь,combo_delivery,0.3195264818788771,0.0,0.0,0.0,420.65009461551693,-0.1742527131001131,110.98773895744692,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,384.2206878353417,311.2218735231679,113.32555154403981,-0.1899918890974906,1,total_by_cat_and_groups,0.0,0.0,j. Группа 2.75,combo_delivery,0.3641310627082375,0.0,0.0,0.0,384.2206878353417,-0.1899918890974906,113.32555154403981,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,464.66021671826627,374.2976676770654,113.38477642112964,-0.19447016505824438,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Нижний Новгород,combo_delivery,0.30292675111979367,0.0,0.0,0.0,464.66021671826627,-0.19447016505824438,113.38477642112964,-0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,366.16270251637366,304.2294450317404,95.06389323845686,-0.16914135999928562,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Пенза,combo_delivery,0.31247433406236796,0.0,0.0,0.0,366.16270251637366,-0.16914135999928562,95.06389323845686,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,340.76548506058555,276.28661021974904,102.85755888118588,-0.18921773967035616,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Саратов Энгельс,combo_delivery,0.37228571735480215,0.0,0.0,0.0,340.76548506058555,-0.18921773967035616,102.85755888118588,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,376.4057252916233,310.0204094435332,105.51873127902107,-0.17636638177237488,1,total_by_cat_and_groups,0.0,0.0,k. Группа 3,combo_delivery,0.3403605958343854,0.0,0.0,0.0,376.4057252916233,-0.17636638177237488,105.51873127902107,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,344.7632688672386,289.3877999310024,103.5159251411519,-0.16061881858290475,1,total_by_cat_and_groups,0.0,0.0,l. Группа 3.5,combo_delivery,0.3577065970501617,0.0,0.0,0.0,344.7632688672386,-0.16061881858290475,103.5159251411519,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,335.6265602322206,284.46976633729366,102.00033270928614,-0.1524217685856908,1,total_by_cat_and_groups,0.0,0.0,m. Группа 4,combo_delivery,0.3585629995854994,0.0,0.0,0.0,335.6265602322206,-0.1524217685856908,102.00033270928614,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,300.55578093306286,253.6195486767055,100.81665732604253,-0.15616479613416784,1,total_by_cat_and_groups,0.0,0.0,n. Группа 5,combo_delivery,0.3975113821157208,0.0,0.0,0.0,300.55578093306286,-0.15616479613416784,100.81665732604253,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,483.52001953125,362.5908593609929,113.74688647710718,-0.25010166132829875,1,total_by_cat_and_groups,0.0,0.0,ntest. Группа Москва-2,combo_delivery,0.31370588513336345,0.0,0.0,0.0,483.52001953125,-0.25010166132829875,113.74688647710718,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,474.4887666548975,358.183050003269,113.0553909784644,-0.24511795605104253,1,total_by_cat_and_groups,0.0,0.0,o. Группа Москва,combo_delivery,0.3156357928646612,0.0,0.0,0.0,474.4887666548975,-0.24511795605104253,113.0553909784644,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,561.3664980164434,423.64969355571316,126.33687450097167,-0.24532423104575132,1,total_by_cat_and_groups,0.0,0.0,p. Группа Москва-1,combo_delivery,0.29821070668225896,0.0,0.0,0.0,561.3664980164434,-0.24532423104575132,126.33687450097167,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,422.9263158548939,335.81215489831067,111.79605090353715,-0.20597952336092548,1,total_by_cat_and_groups,0.0,0.0,q. Группа Спб,combo_delivery,0.33291246094826676,0.0,0.0,0.0,422.9263158548939,-0.20597952336092548,111.79605090353715,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,301.926447486535,251.00397497756973,82.74372624941638,-0.1686585356562256,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1,combo_restaurant,0.3296510593380465,0.0,0.0,0.0,301.926447486535,-0.1686585356562256,82.74372624941638,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
last-8,244.0970388869069,206.98320727632424,68.16139045163133,-0.15204539874724965,1,total_by_cat_and_groups,0.0,0.0,b. Группа -0.5,combo_restaurant,0.3293087944116903,0.0,0.0,0.0,244.0970388869069,-0.15204539874724965,68.16139045163133,0.0,0.0,0.0,0.0,0.0,2024-10-10,2024-10-16
last-8,236.61877782274382,204.6497558331049,72.11190032727416,-0.13510771327534965,1,total_by_cat_and_groups,0.0,0.0,c. Группа 0,combo_restaurant,0.3523673900011029,0.0,0.0,0.0,236.61877782274382,-0.13510771327534965,72.11190032727416,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-10-10,2024-10-16
