period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,297.94632652556606,251.98678449010785,85.50758312898158,-0.15425443425131313,1,total,0.0,0.0,total,total,0.3393336015696423,0.0,0.0,0.0,297.94632652556606,-0.15425443425131313,85.50758312898158,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,147.41966431126852,124.53252335175888,44.475837805102124,-0.155251614948632,1,total_by_cat,0.0,0.0,total,coffee,0.3571423481035081,0.0,0.0,0.0,147.41966431126852,-0.155251614948632,44.475837805102124,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-11-22,2024-11-28
last-8,435.72415693692517,349.00686482451647,114.19841545820586,-0.19901878454942265,1,total_by_cat,0.0,0.0,total,combo_delivery,0.327209653929374,0.0,0.0,0.0,435.72415693692517,-0.19901878454942265,114.19841545820586,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-11-22,2024-11-28
last-8,231.92802787334537,187.11432790460137,69.5099768057635,-0.19322244223633256,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.37148398834108826,0.0,0.0,0.0,231.92802787334537,-0.19322244223633256,69.5099768057635,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,120.78201555149279,106.91410429091543,50.33699612585056,-0.11481768371935364,1,total_by_cat,0.0,0.0,total,drinks,0.470817171033698,0.0,0.0,0.0,120.78201555149279,-0.11481768371935364,50.33699612585056,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,68.61341375359952,59.41897393490493,22.7555603347873,-0.13400353248292116,1,total_by_cat,0.0,0.0,total,other,0.38296791122170204,0.0,0.0,0.0,68.61341375359952,-0.13400353248292116,22.7555603347873,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,698.8374557247078,605.5570211311202,178.61840351325236,-0.13347944336620307,1,total_by_cat,0.0,0.0,total,pizza,0.2949654570590412,0.0,0.0,0.0,698.8374557247078,-0.13347944336620307,178.61840351325236,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-11-22,2024-11-28
last-8,246.83673152301964,211.01072579264977,89.5996793034296,-0.1451404963488134,1,total_by_cat,0.0,0.0,total,zakuski,0.42462144503249066,0.0,0.0,0.0,246.83673152301964,-0.1451404963488134,89.5996793034296,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,179.68464730290455,154.63419086624336,52.575657009583786,-0.13941344913253623,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1.5,coffee,0.3400002076840889,0.0,0.0,0.0,179.68464730290455,-0.13941344913253623,52.575657009583786,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,177.8858296622614,146.80287441349807,53.42194759653178,-0.1747354205097629,1,total_by_cat_and_groups,0.0,0.0,b. Группа -1,coffee,0.36390259938684005,0.0,0.0,0.0,177.8858296622614,-0.1747354205097629,53.42194759653178,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-11-22,2024-11-28
last-8,173.48191653786708,139.56644513209048,46.656000469862214,-0.19549859767875952,1,total_by_cat_and_groups,0.0,0.0,c. Группа -0.5,coffee,0.3342923897338316,0.0,0.0,0.0,173.48191653786708,-0.19549859767875952,46.656000469862214,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,2.220446049250313e-16,2024-11-22,2024-11-28
last-8,161.23570800351803,137.1792963832678,48.9884804161159,-0.1492002728063522,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0,coffee,0.3571127838361706,0.0,0.0,0.0,161.23570800351803,-0.1492002728063522,48.9884804161159,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,157.2735437516038,130.89128690681565,45.88897147385438,-0.16774758306747384,1,total_by_cat_and_groups,0.0,0.0,e. Группа 0.5,coffee,0.3505884353213193,0.0,0.0,0.0,157.2735437516038,-0.16774758306747384,45.88897147385438,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,150.9960710485389,128.6421122107546,57.88235250440081,-0.14804331452172992,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1,coffee,0.44994871049359053,0.0,0.0,0.0,150.9960710485389,-0.14804331452172992,57.88235250440081,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,145.21195652173913,113.02263593106814,48.751163301260576,-0.22167128218434307,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Братск,coffee,0.4313398187863326,0.0,0.0,0.0,145.21195652173913,-0.22167128218434307,48.751163301260576,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
last-8,152.54062326099054,128.48187810020045,42.79746129848457,-0.15772024950774333,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,coffee,0.33310114960420867,0.0,0.0,0.0,152.54062326099054,-0.15772024950774333,42.79746129848457,0.0,0.0,0.0,0.0,0.0,2024-11-22,2024-11-28
