period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,301.6265395909629,255.5620970798485,87.70883827475345,-0.15272012394394274,1,total,0.0,0.0,total,total,0.34319971262150606,0.0,0.0,0.0,301.6265395909629,-0.15272012394394274,87.70883827475345,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,148.7641911583465,123.3695036424684,48.41540439117917,-0.1707043026829465,1,total_by_cat,0.0,0.0,total,coffee,0.3924422402759249,0.0,0.0,0.0,148.7641911583465,-0.1707043026829465,48.41540439117917,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,450.615115641955,364.10126217560156,118.55000746332263,-0.19199057125082047,1,total_by_cat,0.0,0.0,total,combo_delivery,0.32559625515977314,0.0,0.0,0.0,450.615115641955,-0.19199057125082047,118.55000746332263,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,234.49584206558131,190.76979135219258,71.3432499549019,-0.18646834130713447,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.3739756145310788,0.0,0.0,0.0,234.49584206558131,-0.18646834130713447,71.3432499549019,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,122.23692665597787,107.92364188161021,50.547071868847375,-0.11709460607309602,1,total_by_cat,0.0,0.0,total,drinks,0.4683595826417382,0.0,0.0,0.0,122.23692665597787,-0.11709460607309602,50.547071868847375,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,70.92955679275303,61.53317913761871,23.609725384685724,-0.13247478315125136,1,total_by_cat,0.0,0.0,total,other,0.3836909731558428,0.0,0.0,0.0,70.92955679275303,-0.13247478315125136,23.609725384685724,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,708.4204325769915,616.0130940212989,180.81101604946073,-0.13044137959085428,1,total_by_cat,0.0,0.0,total,pizza,0.2935181375271369,0.0,0.0,0.0,708.4204325769915,-0.13044137959085428,180.81101604946073,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,253.18638911559745,213.96687742595296,93.14385850334173,-0.15490371274159614,1,total_by_cat,0.0,0.0,total,zakuski,0.4353190532285812,0.0,0.0,0.0,253.18638911559745,-0.15490371274159614,93.14385850334173,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,195.3753253513795,162.57170742877383,53.2325732853188,-0.1679005159101277,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1.5,coffee,0.3274405745454887,0.0,0.0,0.0,195.3753253513795,-0.1679005159101277,53.2325732853188,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,176.31138470051184,141.0851127312179,57.42271226378195,-0.19979578760118305,1,total_by_cat_and_groups,0.0,0.0,b. Группа -1,coffee,0.4070075938712138,0.0,0.0,0.0,176.31138470051184,-0.19979578760118305,57.42271226378195,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,163.55469422911284,138.2923600350881,54.5846847432323,-0.1544580197657696,1,total_by_cat_and_groups,0.0,0.0,c. Группа -0.5,coffee,0.39470499114616925,0.0,0.0,0.0,163.55469422911284,-0.1544580197657696,54.5846847432323,-0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-2.220446049250313e-16,2025-01-27,2025-02-02
last-8,161.15223157651943,133.19621955869408,54.33500237058512,-0.173475798283011,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0,coffee,0.40793201601823187,0.0,0.0,0.0,161.15223157651943,-0.173475798283011,54.33500237058512,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,156.8056067871634,131.93136479132008,51.18567723570077,-0.15863107516050648,1,total_by_cat_and_groups,0.0,0.0,e. Группа 0.5,coffee,0.38797201345307647,0.0,0.0,0.0,156.8056067871634,-0.15863107516050648,51.18567723570077,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,151.87910321241705,124.15599777097452,49.56402396715317,-0.18253403434091384,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1,coffee,0.3992076489013595,0.0,0.0,0.0,151.87910321241705,-0.18253403434091384,49.56402396715317,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,152.91402714932127,116.94348419719512,54.1088102867161,-0.23523376908385746,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Братск,coffee,0.46269196320057904,0.0,0.0,0.0,152.91402714932127,-0.23523376908385746,54.1088102867161,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,155.22762529832934,126.3478878125424,50.53989628163613,-0.1860476666462138,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,coffee,0.40000586599928184,0.0,0.0,0.0,155.22762529832934,-0.1860476666462138,50.53989628163613,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,2.220446049250313e-16,2025-01-27,2025-02-02
last-8,144.0498127340824,118.48958706166177,49.4602611600683,-0.17744018674710185,1,total_by_cat_and_groups,0.0,0.0,g. Группа 1.5,coffee,0.417422850282441,0.0,0.0,0.0,144.0498127340824,-0.17744018674710185,49.4602611600683,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,147.1839570089783,121.31151450644818,49.8609384473869,-0.17578303388698746,1,total_by_cat_and_groups,0.0,0.0,h. Группа 1.75,coffee,0.4110157114948606,0.0,0.0,0.0,147.1839570089783,-0.17578303388698746,49.8609384473869,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,146.00263906401196,119.93523384716758,49.85867112876208,-0.17854064408668424,1,total_by_cat_and_groups,0.0,0.0,i. Группа 2,coffee,0.4157132939957957,0.0,0.0,0.0,146.00263906401196,-0.17854064408668424,49.85867112876208,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,147.47270875763746,119.70786759983862,45.14192988945365,-0.18827104615965726,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Казань,coffee,0.3771007770379372,0.0,0.0,0.0,147.47270875763746,-0.18827104615965726,45.14192988945365,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,141.51356783919599,123.58815075668258,46.09804845455304,-0.1266692470285416,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Ставрополь,coffee,0.3729973154571249,0.0,0.0,0.0,141.51356783919599,-0.1266692470285416,46.09804845455304,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,142.62281583608598,118.50863276650955,46.17032258813849,-0.1690766160253802,1,total_by_cat_and_groups,0.0,0.0,j. Группа 2.5,coffee,0.3895945933247336,0.0,0.0,0.0,142.62281583608598,-0.1690766160253802,46.17032258813849,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,140.39057043073342,121.35483115810871,45.42300901424066,-0.135591295157652,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Нижний Новгород,coffee,0.3742991406338056,0.0,0.0,0.0,140.39057043073342,-0.135591295157652,45.42300901424066,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,145.61788990825687,117.36193119390705,48.13543282867572,-0.19404180854530875,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Орел Иваново Кинешма Кострома,coffee,0.41014520073928973,0.0,0.0,0.0,145.61788990825687,-0.19404180854530875,48.13543282867572,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,144.43753771876885,118.40881712899268,46.64016882597716,-0.18020745161452503,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Пенза,coffee,0.39389101214623323,0.0,0.0,0.0,144.43753771876885,-0.18020745161452503,46.64016882597716,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,144.000786163522,117.86616349966505,49.204643721100666,-0.1814894443296958,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Саратов Энгельс,coffee,0.41746199469061784,0.0,0.0,0.0,144.000786163522,-0.1814894443296958,49.204643721100666,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,137.7649990415948,113.19573029507582,48.77856422864502,-0.17834187868793056,1,total_by_cat_and_groups,0.0,0.0,k. Группа 2.75,coffee,0.430922298053913,0.0,0.0,0.0,137.7649990415948,-0.17834187868793056,48.77856422864502,-0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,135.86909048669997,115.75965033383764,48.6446420379543,-0.14800599666066663,1,total_by_cat_and_groups,0.0,0.0,l. Группа 3,coffee,0.4202210519612723,0.0,0.0,0.0,135.86909048669997,-0.14800599666066663,48.6446420379543,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,140.11440426793123,120.18401305680453,52.31049240645955,-0.14224369946301293,1,total_by_cat_and_groups,0.0,0.0,m. Группа 3.5,coffee,0.43525333424949947,0.0,0.0,0.0,140.11440426793123,-0.14224369946301293,52.31049240645955,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,124.18641509433962,104.78042261368823,46.77388458971707,-0.15626501872937876,1,total_by_cat_and_groups,0.0,0.0,n. Группа 4,coffee,0.4463990831776494,0.0,0.0,0.0,124.18641509433962,-0.15626501872937876,46.77388458971707,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,148.42938775510203,125.82737842378394,44.59632701128634,-0.15227449006668284,1,total_by_cat_and_groups,0.0,0.0,ntest. Группа Москва-2,coffee,0.35442466949511464,0.0,0.0,0.0,148.42938775510203,-0.15227449006668284,44.59632701128634,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,116.03255813953488,104.40576745659806,47.71856302660565,-0.10020282987258657,1,total_by_cat_and_groups,0.0,0.0,o. Группа 5,coffee,0.4570491093458268,0.0,0.0,0.0,116.03255813953488,-0.10020282987258657,47.71856302660565,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,150.62727272727273,126.51442256593802,45.65395749297417,-0.16008289684029317,1,total_by_cat_and_groups,0.0,0.0,p. Группа Москва,coffee,0.3608597072731356,0.0,0.0,0.0,150.62727272727273,-0.16008289684029317,45.65395749297417,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,148.14992927864216,126.64669495600397,44.203035671756304,-0.14514508665201342,1,total_by_cat_and_groups,0.0,0.0,q. Группа Москва-1,coffee,0.3490263657264177,0.0,0.0,0.0,148.14992927864216,-0.14514508665201342,44.203035671756304,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,147.55809341448403,122.90496716784341,47.059562855996845,-0.1670740362400258,1,total_by_cat_and_groups,0.0,0.0,r. Группа Спб,coffee,0.3828939052701639,0.0,0.0,0.0,147.55809341448403,-0.1670740362400258,47.059562855996845,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,138.98541666666668,117.92867707696665,45.59949273665746,-0.15150323030078103,1,total_by_cat_and_groups,0.0,0.0,test. Группа Брянск,coffee,0.38667009472934866,0.0,0.0,0.0,138.98541666666668,-0.15150323030078103,45.59949273665746,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,146.1236802413273,122.7778733220755,47.20500861465661,-0.15976744413154367,1,total_by_cat_and_groups,0.0,0.0,test. Группа Липецк,coffee,0.38447488409272795,0.0,0.0,0.0,146.1236802413273,-0.15976744413154367,47.20500861465661,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,148.18259023354565,121.74832269214015,48.08046159521536,-0.17838983310889175,1,total_by_cat_and_groups,0.0,0.0,test. Группа Рязань,coffee,0.3949168295056877,0.0,0.0,0.0,148.18259023354565,-0.17838983310889175,48.08046159521536,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,144.38423645320196,118.7163464567442,53.36866808642308,-0.17777487783285317,1,total_by_cat_and_groups,0.0,0.0,test. Группа Смоленск,coffee,0.44954776388665757,0.0,0.0,0.0,144.38423645320196,-0.17777487783285317,53.36866808642308,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,146.71310116086235,125.03910442608506,47.01942739913713,-0.1477304791684079,1,total_by_cat_and_groups,0.0,0.0,test. Группа Тула,coffee,0.3760377812601172,0.0,0.0,0.0,146.71310116086235,-0.1477304791684079,47.01942739913713,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,464.74018714303077,386.8312565514609,111.82885623166534,-0.16763975388165037,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1.5,combo_delivery,0.28908950437098024,0.0,0.0,0.0,464.74018714303077,-0.16763975388165037,111.82885623166534,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,463.46811877889303,382.7441222894783,116.08045686389995,-0.17417378503207412,1,total_by_cat_and_groups,0.0,0.0,b. Группа -1,combo_delivery,0.3032847537136197,0.0,0.0,0.0,463.46811877889303,-0.17417378503207412,116.08045686389995,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,433.9028088919524,366.771762886685,112.44567012392446,-0.15471447667439264,1,total_by_cat_and_groups,0.0,0.0,c. Группа -0.5,combo_delivery,0.3065821350011201,0.0,0.0,0.0,433.9028088919524,-0.15471447667439264,112.44567012392446,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,452.7535915053092,385.5894373451673,118.51530338840239,-0.14834593346203037,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0,combo_delivery,0.3073613847007725,0.0,0.0,0.0,452.7535915053092,-0.14834593346203037,118.51530338840239,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,402.08854951376526,344.69105464891936,108.61939014726886,-0.142748394437631,1,total_by_cat_and_groups,0.0,0.0,e. Группа 0.5,combo_delivery,0.3151210009145777,0.0,0.0,0.0,402.08854951376526,-0.142748394437631,108.61939014726886,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,431.1527990979854,363.990081983319,114.20345477571522,-0.15577474448774897,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1,combo_delivery,0.31375430383553404,0.0,0.0,0.0,431.1527990979854,-0.15577474448774897,114.20345477571522,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,387.85697399527186,325.6670488443921,109.75345392693113,-0.16034241826379497,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Братск,combo_delivery,0.3370112337627769,0.0,0.0,0.0,387.85697399527186,-0.16034241826379497,109.75345392693113,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,463.18282394731,378.47112225155985,113.8991871804301,-0.18289042105194003,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,combo_delivery,0.3009455160088127,0.0,0.0,0.0,463.18282394731,-0.18289042105194003,113.8991871804301,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-27,2025-02-02
last-8,408.7342530760011,336.9131249264056,112.64474121712037,-0.17571595140141313,1,total_by_cat_and_groups,0.0,0.0,g. Группа 1.5,combo_delivery,0.33434358261265773,0.0,0.0,0.0,408.7342530760011,-0.17571595140141313,112.64474121712037,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,389.4802634327007,316.82420740931445,112.31961351119443,-0.18654618178345955,1,total_by_cat_and_groups,0.0,0.0,h. Группа 1.75,combo_delivery,0.354517145105915,0.0,0.0,0.0,389.4802634327007,-0.18654618178345955,112.31961351119443,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,403.6779188549158,331.84195225440027,112.83280898515133,-0.17795366861850528,1,total_by_cat_and_groups,0.0,0.0,i. Группа 2,combo_delivery,0.3400197239035353,0.0,0.0,0.0,403.6779188549158,-0.17795366861850528,112.83280898515133,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,433.9003225659897,356.221575105506,116.87707561532608,-0.1790244058845334,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Казань,combo_delivery,0.3281021807303764,0.0,0.0,0.0,433.9003225659897,-0.1790244058845334,116.87707561532608,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,515.406439473134,409.48555089877584,127.8470073375347,-0.20550943966209287,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Ставрополь,combo_delivery,0.3122137205010642,0.0,0.0,0.0,515.406439473134,-0.20550943966209287,127.8470073375347,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,395.0335764770577,320.395567776317,108.83363932631909,-0.18894092336749865,1,total_by_cat_and_groups,0.0,0.0,j. Группа 2.5,combo_delivery,0.3396852212459471,0.0,0.0,0.0,395.0335764770577,-0.18894092336749865,108.83363932631909,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
last-8,465.6316491579123,352.9906803351831,118.7436385173012,-0.2419100355966754,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Нижний Новгород,combo_delivery,0.3363931263129891,0.0,0.0,0.0,465.6316491579123,-0.2419100355966754,118.7436385173012,0.0,0.0,0.0,0.0,0.0,2025-01-27,2025-02-02
