period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,322.2844845347029,277.20789604379735,90.30172236479359,-0.1398658348570045,1,total,0.0,0.0,total,total,0.3257545100754504,0.0,0.0,0.0,322.2844845347029,-0.1398658348570045,90.30172236479359,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,147.77156443901941,127.17786437066161,47.61271381499779,-0.13936172460877058,1,total_by_cat,0.0,0.0,total,coffee,0.3743789381163839,0.0,0.0,0.0,147.77156443901941,-0.13936172460877058,47.61271381499779,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-12-22,2024-12-28
last-8,488.1124484844848,389.34315793033335,123.94343539232118,-0.2023494603770405,1,total_by_cat,0.0,0.0,total,combo_delivery,0.3183398317596706,0.0,0.0,0.0,488.1124484844848,-0.2023494603770405,123.94343539232118,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,259.4793841454501,209.99786539097855,75.42035690540948,-0.19069537611795362,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.3591482073638712,0.0,0.0,0.0,259.4793841454501,-0.19069537611795362,75.42035690540948,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,123.97762104249178,111.55975006747991,50.860098943991474,-0.10016219758528681,1,total_by_cat,0.0,0.0,total,drinks,0.45590007967234936,0.0,0.0,0.0,123.97762104249178,-0.10016219758528681,50.860098943991474,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,63.8283556303148,56.31472351776635,20.144881157565127,-0.11771620995637722,1,total_by_cat,0.0,0.0,total,other,0.3577196139693335,0.0,0.0,0.0,63.8283556303148,-0.11771620995637722,20.144881157565127,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,709.3553201791831,640.0522433058052,179.1934552085533,-0.09769867780208095,1,total_by_cat,0.0,0.0,total,pizza,0.2799669200173992,0.0,0.0,0.0,709.3553201791831,-0.09769867780208095,179.1934552085533,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2024-12-22,2024-12-28
last-8,248.76168426318338,219.0602473879165,90.74263416814507,-0.11939715299500685,1,total_by_cat,0.0,0.0,total,zakuski,0.4142359704700603,0.0,0.0,0.0,248.76168426318338,-0.11939715299500685,90.74263416814507,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,173.84857351865398,155.39754940500725,52.704643977848214,-0.1061327322980129,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1.5,coffee,0.3391600715689919,0.0,0.0,0.0,173.84857351865398,-0.1061327322980129,52.704643977848214,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,176.83008298755186,148.55896474179266,50.075911024892974,-0.15987731141736428,1,total_by_cat_and_groups,0.0,0.0,b. Группа -1,coffee,0.33707767896692675,0.0,0.0,0.0,176.83008298755186,-0.15987731141736428,50.075911024892974,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,176.62850835698518,149.41047304232427,54.76401663412998,-0.15409763445236338,1,total_by_cat_and_groups,0.0,0.0,c. Группа -0.5,coffee,0.3665339886757249,0.0,0.0,0.0,176.62850835698518,-0.15409763445236338,54.76401663412998,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,163.49878291657447,141.84564948647153,53.71994689714331,-0.13243605269619338,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0,coffee,0.37872114577801574,0.0,0.0,0.0,163.49878291657447,-0.13243605269619338,53.71994689714331,0.0,0.0,0.0,0.0,0.0,2024-12-22,2024-12-28
last-8,159.5459729981378,135.68306797346034,52.31862588168522,-0.1495675796527687,1,total_by_cat_and_groups,0.0,0.0,e. Группа 0.5,coffee,0.3855943609111106,0.0,0.0,0.0,159.5459729981378,-0.1495675796527687,52.31862588168522,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2024-12-22,2024-12-28
